goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023102117:48BOS5,BOS,3RD,17:48,2023-10-21,Brad Marchand,20231021BOS@LA,David Pastrnak,Pavel Zacha,3468
2023102115:33BOS4,BOS,2ND,15:33,2023-10-21,Brad Marchand,20231021BOS@LA,David Pastrnak,Derek Forbort,2133
2023102114:45BOS3,BOS,2ND,14:45,2023-10-21,Morgan Geekie,20231021BOS@LA,Milan Lucic,Derek Forbort,2085
2023102106:28LA2,LA,2ND,06:28,2023-10-21,Alex Laferriere,20231021BOS@LA,Pierre-Luc Dubois,Kevin Fiala,1588
2023102113:10BOS1,BOS,1ST,13:10,2023-10-21,David Pastrnak,20231021BOS@LA,Brad Marchand,James van Riemsdyk,790
2023102203:44DET8,DET,3RD,03:44,2023-10-22,Alex DeBrincat,20231022CGY@DET,Lucas Raymond,Justin Holl,2624
2023102203:07DET7,DET,3RD,03:07,2023-10-22,Jake Walman,20231022CGY@DET,Daniel Sprong,David Perron,2587
2023102218:34CGY6,CGY,2ND,18:34,2023-10-22,Yegor Sharangovich,20231022CGY@DET,Walker Duehr,Nikita Zadorov,2314
2023102213:33DET5,DET,2ND,13:33,2023-10-22,Alex DeBrincat,20231022CGY@DET,Dylan Larkin,Lucas Raymond,2013
2023102212:12CGY4,CGY,2ND,12:12,2023-10-22,Andrew Mangiapane,20231022CGY@DET,Mikael Backlund,Blake Coleman,1932
2023102202:00DET3,DET,2ND,02:00,2023-10-22,Dylan Larkin,20231022CGY@DET,Alex DeBrincat,None,1320
2023102209:44DET2,DET,1ST,09:44,2023-10-22,Joseph Veleno,20231022CGY@DET,Ben Chiarot,Justin Holl,584
2023102201:59DET1,DET,1ST,01:59,2023-10-22,Alex DeBrincat,20231022CGY@DET,Justin Holl,Lucas Raymond,119
2023102217:26BOS4,BOS,3RD,17:26,2023-10-22,Brad Marchand,20231022BOS@ANA,Charlie Coyle,None,3446
2023102210:20BOS3,BOS,3RD,10:20,2023-10-22,Matthew Poitras,20231022BOS@ANA,Jake DeBrusk,Charlie McAvoy,3020
2023102206:29BOS2,BOS,3RD,06:29,2023-10-22,Matthew Poitras,20231022BOS@ANA,Morgan Geekie,Ian Mitchell,2789
2023102205:05ANA1,ANA,3RD,05:05,2023-10-22,Mason McTavish,20231022BOS@ANA,Ryan Strome,Frank Vatrano,2705
2023102316:53MON4,MON,3RD,16:53,2023-10-23,Tanner Pearson,20231023MON@BUF,Brendan Gallagher,Alex Newhook,3413
2023102303:31MON3,MON,3RD,03:31,2023-10-23,Brendan Gallagher,20231023MON@BUF,David Savard,Tanner Pearson,2611
2023102307:13BUF2,BUF,1ST,07:13,2023-10-23,Jeff Skinner,20231023MON@BUF,Dylan Cozens,Rasmus Dahlin,433
2023102302:56MON1,MON,1ST,02:56,2023-10-23,Justin Barron,20231023MON@BUF,Arber Xhekaj,Sean Monahan,176
2023102419:49WAS5,WAS,2ND,19:49,2023-10-24,Alex Ovechkin,20231024TOR@WAS,John Carlson,Tom Wilson,2389
2023102415:07TOR4,TOR,2ND,15:07,2023-10-24,Auston Matthews,20231024TOR@WAS,Mitchell Marner,John Klingberg,2107
2023102406:29TOR3,TOR,2ND,06:29,2023-10-24,William Nylander,20231024TOR@WAS,Auston Matthews,None,1589
2023102405:41TOR2,TOR,2ND,05:41,2023-10-24,John Tavares,20231024TOR@WAS,Morgan Rielly,Tyler Bertuzzi,1541
2023102412:53TOR1,TOR,1ST,12:53,2023-10-24,Morgan Rielly,20231024TOR@WAS,Timothy Liljegren,Max Domi,773
2023102419:37BUF10,BUF,3RD,19:37,2023-10-24,Tage Thompson,20231024BUF@OTT,None,None,3577
2023102418:58OTT9,OTT,3RD,18:58,2023-10-24,Mathieu Joseph,20231024BUF@OTT,Ridly Greig,Jake Sanderson,3538
2023102418:38OTT8,OTT,3RD,18:38,2023-10-24,Josh Norris,20231024BUF@OTT,Drake Batherson,Tim Stutzle,3518
2023102415:35OTT7,OTT,3RD,15:35,2023-10-24,Vladimir Tarasenko,20231024BUF@OTT,Thomas Chabot,Mathieu Joseph,3335
2023102418:48BUF6,BUF,2ND,18:48,2023-10-24,Tage Thompson,20231024BUF@OTT,Owen Power,Henri Jokiharju,2328
2023102417:08BUF5,BUF,2ND,17:08,2023-10-24,Alex Tuch,20231024BUF@OTT,Rasmus Dahlin,Tage Thompson,2228
2023102413:14OTT4,OTT,2ND,13:14,2023-10-24,Jakob Chychrun,20231024BUF@OTT,Travis Hamonic,Vladimir Tarasenko,1994
2023102404:04BUF3,BUF,2ND,04:04,2023-10-24,Jeff Skinner,20231024BUF@OTT,Dylan Cozens,Casey Mittelstadt,1444
2023102411:20BUF2,BUF,1ST,11:20,2023-10-24,Zemgus Girgensons,20231024BUF@OTT,Connor Clifton,Kyle Okposo,680
2023102408:06BUF1,BUF,1ST,08:06,2023-10-24,Jeff Skinner,20231024BUF@OTT,Alex Tuch,Casey Mittelstadt,486
2023102417:04TB3,TB,3RD,17:04,2023-10-24,Nick Paul,20231024CAR@TB,Brandon Hagel,Mikhail Sergachev,3424
2023102417:51TB2,TB,2ND,17:51,2023-10-24,Alex Barre-Boulet,20231024CAR@TB,Darren Raddysh,Brayden Point,2271
2023102419:06TB1,TB,1ST,19:06,2023-10-24,Brayden Point,20231024CAR@TB,Victor Hedman,Nikita Kucherov,1146
2023102419:34NJ7,NJ,3RD,19:34,2023-10-24,Tyler Toffoli,20231024NJ@MON,Jack Hughes,None,3574
