"goalID","scorer","period","teamName","goalDate","gameID"
"2023101603:35NJ5",Erik Haula,"3RD",New Jersey Devils,2023-10-16,"20231016FLA@NJ"
"2023101603:54FLA1",Sam Reinhart,"1ST",Florida Panthers,2023-10-16,"20231016FLA@NJ"
"2023101604:47CGY1",Adam Ruzicka,"1ST",Calgary Flames,2023-10-16,"20231016CGY@WAS"
"2023101605:00ARI2",Clayton Keller,"2ND",Arizona Coyotes,2023-10-16,"20231016ARI@NYR"
"2023101605:00WAS5",Evgeny Kuznetsov,SHO,Washington Capitals,2023-10-16,"20231016CGY@WAS"
"2023101605:14TOR2",John Tavares,"2ND",Toronto Maple Leafs,2023-10-16,"20231016CHI@TOR"
"2023101606:50WAS3",Matthew Phillips,"2ND",Washington Capitals,2023-10-16,"20231016CGY@WAS"
"2023101607:45DET2",Michael Rasmussen,"2ND",Detroit Red Wings,2023-10-16,"20231016DET@CLB"
"2023101608:26NYR3",Vincent Trocheck,"3RD",New York Rangers,2023-10-16,"20231016ARI@NYR"
"2023101608:51DET1",Shayne Gostisbehere,"1ST",Detroit Red Wings,2023-10-16,"20231016DET@CLB"
"2023101608:51NJ6",Michael McLeod,"3RD",New Jersey Devils,2023-10-16,"20231016FLA@NJ"
"2023101609:54WAS4",Connor McMichael,"2ND",Washington Capitals,2023-10-16,"20231016CGY@WAS"
"2023101611:11DET3",Dylan Larkin,"2ND",Detroit Red Wings,2023-10-16,"20231016DET@CLB"
"2023101611:18FLA3",Niko Mikkola,"2ND",Florida Panthers,2023-10-16,"20231016FLA@NJ"
"2023101612:07DET4",Andrew Copp,"2ND",Detroit Red Wings,2023-10-16,"20231016DET@CLB"
"2023101613:12FLA2",Carter Verhaeghe,"1ST",Florida Panthers,2023-10-16,"20231016FLA@NJ"
"2023101614:11NYR1",Chris Kreider,"1ST",New York Rangers,2023-10-16,"20231016ARI@NYR"
"2023101614:46CHI3",Corey Perry,"2ND",Chicago Blackhawks,2023-10-16,"20231016CHI@TOR"
"2023101617:05CHI4",Tyler Johnson,"2ND",Chicago Blackhawks,2023-10-16,"20231016CHI@TOR"
"2023101617:12CGY2",Dillon Dube,"1ST",Calgary Flames,2023-10-16,"20231016CGY@WAS"
"2023101617:37NJ7",Jesper Bratt,"3RD",New Jersey Devils,2023-10-16,"20231016FLA@NJ"
"2023101619:54CHI5",Taylor Raddysh,"3RD",Chicago Blackhawks,2023-10-16,"20231016CHI@TOR"
"2023101659.0FLA4",Sam Reinhart,"3RD",Florida Panthers,2023-10-16,"20231016FLA@NJ"
"2023101701:45PHI1",Egor Zamula,"1ST",Philadelphia Flyers,2023-10-17,"20231017VAN@PHI"
"2023101701:46BUF5",Dylan Cozens,OVE,Buffalo Sabres,2023-10-17,"20231017TB@BUF"
"2023101702:08NSH5",Tommy Novak,"2ND",Nashville Predators,2023-10-17,"20231017EDM@NSH"
"2023101702:17MIN3",Joel Eriksson Ek,"2ND",Minnesota Wild,2023-10-17,"20231017MIN@MON"
"2023101702:51LA3",Arthur Kaliyev,"3RD",Los Angeles Kings,2023-10-17,"20231017LA@WPG"
"2023101703:14SJ1",Fabian Zetterlund,"1ST",San Jose Sharks,2023-10-17,"20231017CAR@SJ"
"2023101703:47NYI1",Mathew Barzal,"2ND",New York Islanders,2023-10-17,"20231017ARI@NYI"
"2023101703:50COL2",Artturi Lehkonen,"2ND",Colorado Avalanche,2023-10-17,"20231017COL@SEA"
"2023101704:06CAR2",Seth Jarvis,"1ST",Carolina Hurricanes,2023-10-17,"20231017CAR@SJ"
"2023101705:20MIN6",Joel Eriksson Ek,"3RD",Minnesota Wild,2023-10-17,"20231017MIN@MON"
"2023101707:53EDM6",Leon Draisaitl,"2ND",Edmonton Oilers,2023-10-17,"20231017EDM@NSH"
"2023101708:11EDM1",Leon Draisaitl,"1ST",Edmonton Oilers,2023-10-17,"20231017EDM@NSH"
